PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Jae Crowder,Bos,SF,24,28,20.6,42.1,16.2,0.089,35,0.714,120,0.5,59,0.305,0.512,7.1,3.4,9.2,1.2,8.8,1,0.39,6
Dante Cunningham,Nor,PF,27,38,24.9,51.5,10.3,0.088,20,0.65,184,0.467,3,0.333,0.48,4.9,3.4,7.7,0.7,3.8,0.76,0.53,3.6
Stephen Curry,Gol,PG,26,52,33,68.5,29,0.139,234,0.902,474,0.551,412,0.4,0.621,23.6,4.7,7.6,7.9,38.9,2.19,0.23,11.6
Samuel Dalembert,Nyk,C,33,32,16.8,34.7,15.3,0.219,20,0.7,130,0.438,0,0,0.461,4,5.3,18.2,0.9,8.5,0.44,1.28,6.4
Troy Daniels,Hou,SG,23,17,6.2,12.5,22.2,0.093,4,0.75,4,0.5,43,0.302,0.472,2.7,0.4,3.2,0.2,6.2,0,0,3.9
Troy Daniels,Min,SG,23,19,7.9,16.4,19.6,0.118,2,1,20,0.3,39,0.333,0.443,2.8,1,7.2,0.7,13.5,0.16,0,6.3
Luigi Datome,Det,SF,27,3,5.6,10.6,36.6,0.143,0,0,8,0.5,4,0.25,0.458,3.7,1.3,12.8,0.7,25.6,0.33,0,10.7
Brandon Davies,Phi,PF,23,20,18.7,38.6,18.6,0.158,33,0.636,89,0.472,30,0.233,0.472,6.3,3.7,10.7,1.4,13.5,0.85,0.2,6.8
Brandon Davies,Bro,PF,23,7,6.1,11.7,25.6,0.168,4,0.75,14,0.357,4,0.25,0.405,2.3,1.4,13.2,0.3,7.7,0.14,0.43,6.5
Anthony Davis,Nor,PF,21,47,35.6,73.8,27.2,0.064,312,0.83,797,0.552,9,0.111,0.605,24.3,10.3,16.4,1.7,9,1.51,2.72,8.5
